Model,New T2I,AUC-PR,F1 Score
2024-10-29-17-33,0.3333333333333333,0.0198661758259876,
2024-10-29-17-41,0.4285714285714285,0.0200713287202514,
2024-10-29-17-48,0.3333333333333333,0.0198452182395787,
2024-10-29-17-55,0.3333333333333333,0.0197765701566794,
2024-10-29-18-03,0.3333333333333333,0.0195390685633447,
2024-10-29-18-09,0.3333333333333333,0.0195841924809119,
2024-10-29-18-16,0.3333333333333333,0.0201530663938101,
2024-10-29-18-24,0.4444444444444444,0.0194362798014691,
2024-10-29-18-31,0.3333333333333333,0.0193376563865047,
2024-10-29-18-39,0.3333333333333333,0.0196658064593399,
2024-10-29-18-46,0.3333333333333333,0.0148707885402017,
2024-10-29-18-53,0.1052631578947368,0.0148795141881585,
2024-10-29-18-59,0.4285714285714285,0.0181323662678037,
2024-10-29-19-08,0.3333333333333333,0.0185110395636337,
2024-10-29-19-17,0.3333333333333333,0.0173658711677672,
2024-10-29-20-54,0.4285714285714285,0.0200265263868206,
2024-10-29-21-03,0.3333333333333333,0.0197987123658705,
2024-10-29-21-14,0.3333333333333333,0.0172553738022487,
2024-10-29-21-23,0.3333333333333333,0.0204571535072681,
2024-10-29-21-30,0.3333333333333333,0.0195708445161294,
2024-10-29-21-40,0.3333333333333333,0.0197222575424154,
2024-10-29-21-49,0.3333333333333333,0.0194503923743543,
2024-10-29-21-59,0.3333333333333333,0.0198910495311145,
2024-10-29-22-07,0.4285714285714285,0.0199759234234569,
2024-10-29-22-16,0.0439560439560439,0.0115275503357452,
2024-10-29-22-23,0.3333333333333333,0.0197054674991615,
2024-10-29-22-32,0.4285714285714285,0.0201648957267126,
2024-10-29-22-41,0.3333333333333333,0.01737042357884,
2024-10-29-22-49,0.3333333333333333,0.0185939284692115,
2024-10-29-22-57,0.3333333333333333,0.0196685160379474,
2024-10-30-09-30,0.3333333333333333,0.0195969339560378,
2024-10-30-09-41,0.3333333333333333,0.0199245965001807,
2024-10-30-09-50,0.3333333333333333,0.0193916488527081,
2024-10-30-10-01,0.3333333333333333,0.0199513676760587,
2024-10-30-10-13,0.3333333333333333,0.0192536107372819,
2024-10-30-10-21,0.3333333333333333,0.0197047973471194,
2024-10-30-10-30,0.3333333333333333,0.0200819250034829,
2024-10-30-10-43,0.3333333333333333,0.0190694651123292,
2024-10-30-10-55,0.4444444444444444,0.0194456691238464,
2024-10-30-11-04,0.4285714285714285,0.0182168473905057,
2024-10-30-11-13,0.3333333333333333,0.020143549929175,
2024-10-30-11-21,0.3333333333333333,0.0195041200278801,
2024-10-30-11-28,0.3333333333333333,0.0192749809801225,
2024-10-30-11-37,0.3333333333333333,0.0193190478769163,
2024-10-30-11-45,0.3333333333333333,0.0194742904210695,
2024-10-30-11-53,0.3333333333333333,0.0188029266895244,
2024-10-30-11-59,0.375,0.0193380392666294,
2024-10-30-12-06,0.3333333333333333,0.0200198940124751,
2024-10-30-12-15,0.3333333333333333,0.0175109211844072,
2024-10-30-12-22,0.3333333333333333,0.0194238832697329,
2024-10-30-12-32,0.3333333333333333,0.0173556110641478,
2024-10-30-12-41,0.3333333333333333,0.0199568881866454,
2024-10-30-12-50,0.3333333333333333,0.018734471062825,
2024-10-30-12-58,0.4285714285714285,0.0200925055715827,
2024-10-30-13-06,0.3333333333333333,0.0196189918023593,
2024-10-30-13-15,0.5,0.0226151879886797,
